# Bernd Westphal, Website: www.Astroprtpzessor.eu, Mail: glomph@web.de

SO KON AS; Zeit des 'Nichts machen können' ist vorbei
SO KON JU; Gesundung
SO KON JU; gute Realisation
SO KON JU; gutes Verhältnis zu Behörden
SO KON JU; gutes Verhältnis zur Justiz
SO KON JU; Tag der Freude
SO KON KN; Bekanntschaften
SO KON KN; Tag der Änderung einer Meinung
SO KON KN; Tag des Kontaktes
SO KON KN; Verbindungen
SO KON MA; bei Krankheit Fieber
SO KON MA; Kragen platz
SO KON MA; nicht abwarten können
SO KON MA; Schlägerei
SO KON MA; Streit
SO KON MA; Tag des Arbeitens
SO KON MA; Überanstrengung
SO KON MA; Überspannung
SO KON MA; übertrieben
SO KON MA; überzogenes Handeln
SO KON MA; Unfallgefahr
SO KON MC; berufliche Vorteile
SO KON MC; Tag der Würde und Berufung
SO KON MC; wichtige Dinge tun
SO KON MC; Zielbewusstsein
SO KON ME; günstig für geschäftliche Angelegenheiten
SO KON ME; gute Verhandlungen
SO KON ME; Korrespondenz
SO KON ME; kurze Reisen
SO KON ME; Tag des Sprechens
SO KON ME; Zielbewusstsein
SO KON MO; Neubeginn
SO KON MO; persönlicher Neumond
SO KON MO; Tag des Fühlens
SO KON NE; Enttäuschungen
SO KON NE; keine festen Verträge machen
SO KON NE; Tag der Auflösung
SO KON NE; Vorsicht vor König Alkohol
SO KON PL; Tag der Machtentfaltung
SO KON PL; Zwängen unterworfen sein
SO KON SA; Blockaden
SO KON SA; Ordnung schaffen
SO KON SA; Schwierigkeiten
SO KON SA; sich zusammenreißen
SO KON SA; Tag der Grenzsetzung und Ordnung
SO KON UR; Tag der Erneuerung
SO KON UR; Tag des Neuen
SO KON UR; Überraschung
SO KON VE; ästhetisches Empfinden
SO KON VE; Beliebtheit
SO KON VE; Geschenke empfangen
SO KON VE; Geschenke geben
SO KON VE; gewünschtes bekommen
SO KON VE; Harmonie
SO KON VE; kleine Erfolge
SO KON VE; liebevoll
SO KON VE; nett
SO KON VE; Zuneigung
SO OPP AS; Sonne am Deszendenten
SO OPP AS; Tag der Begegnung
SO OPP JU; anmaßendes Verhalten
SO OPP JU; Differenzen in Vertragsangelegenheiten
SO OPP JU; Konflikte mit Behörden oder Justiz
SO OPP JU; Konflikte mit Höheren
SO OPP JU; Nachlässigkeit
SO OPP JU; überzogener Aufwand
SO OPP JU; Verschwendung
SO OPP KN; erschwerte Zusammenarbeit
SO OPP KN; Störung von Verbindungen
SO OPP MA; bei Krankheit Fieber
SO OPP MA; Kragen platz
SO OPP MA; nicht abwarten können
SO OPP MA; Schlägerei
